sale_id,sale_date,year_number,month_number,day_number,day_of_week,customer_code,customer_name,product_code,product_name,category_name,zone_name,salesman_name,warehouse_name,quantity,unit_price,discount_percentage,total_sales
SALE-00178,2025-01-01,2025,1,1,3,CUST-031,Cliente 31,PROD-012,Producto Bebidas 6,Bebidas,Quito,Vendedor 8,Bodega Norte,4,1.17,0,4.68
SALE-00534,2025-01-01,2025,1,1,3,CUST-031,Cliente 31,PROD-023,Producto Cuidado Personal 5,Cuidado Personal,Guayaquil,Vendedor 6,Bodega Sur,18,11.25,0,202.5
SALE-00787,2025-01-01,2025,1,1,3,CUST-008,Cliente 8,PROD-024,Producto Cuidado Personal 6,Cuidado Personal,Guayaquil,Vendedor 6,Bodega Sur,16,8.91,0,142.56
SALE-00974,2025-01-01,2025,1,1,3,CUST-028,Cliente 28,PROD-017,Producto Limpieza 5,Limpieza,Quito,Vendedor 5,Bodega Principal,15,8.63,20,103.56
SALE-01117,2025-01-01,2025,1,1,3,CUST-032,Cliente 32,PROD-009,Producto Bebidas 3,Bebidas,Quito,Vendedor 1,Bodega Norte,20,1.05,0,21.0
SALE-01956,2025-01-01,2025,1,1,3,CUST-020,Cliente 20,PROD-021,Producto Cuidado Personal 3,Cuidado Personal,Cuenca,Vendedor 5,Bodega Principal,18,17.06,20,245.66
SALE-02746,2025-01-01,2025,1,1,3,CUST-041,Cliente 41,PROD-013,Producto Limpieza 1,Limpieza,Cuenca,Vendedor 7,Bodega Norte,14,11.97,0,167.58
SALE-02765,2025-01-01,2025,1,1,3,CUST-004,Cliente 4,PROD-004,Producto Alimentos 4,Alimentos,Guayaquil,Vendedor 4,Bodega Principal,11,2.66,0,29.26
SALE-00560,2025-01-02,2025,1,2,4,CUST-025,Cliente 25,PROD-004,Producto Alimentos 4,Alimentos,Cuenca,Vendedor 5,Bodega Sur,18,2.66,15,40.7
SALE-00798,2025-01-02,2025,1,2,4,CUST-007,Cliente 7,PROD-012,Producto Bebidas 6,Bebidas,Quito,Vendedor 4,Bodega Sur,13,1.17,15,12.93
SALE-01400,2025-01-02,2025,1,2,4,CUST-029,Cliente 29,PROD-015,Producto Limpieza 3,Limpieza,Quito,Vendedor 7,Bodega Norte,7,7.38,5,49.08
SALE-01729,2025-01-02,2025,1,2,4,CUST-017,Cliente 17,PROD-006,Producto Alimentos 6,Alimentos,Ambato,Vendedor 1,Bodega Sur,14,6.1,0,85.4
SALE-02083,2025-01-02,2025,1,2,4,CUST-012,Cliente 12,PROD-022,Producto Cuidado Personal 4,Cuidado Personal,Ambato,Vendedor 6,Bodega Sur,20,6.79,0,135.8
SALE-02706,2025-01-02,2025,1,2,4,CUST-011,Cliente 11,PROD-007,Producto Bebidas 1,Bebidas,Quito,Vendedor 1,Bodega Principal,15,1.39,10,18.76
SALE-01204,2025-01-03,2025,1,3,5,CUST-035,Cliente 35,PROD-022,Producto Cuidado Personal 4,Cuidado Personal,Guayaquil,Vendedor 5,Bodega Norte,15,6.79,5,96.76
SALE-01895,2025-01-03,2025,1,3,5,CUST-010,Cliente 10,PROD-002,Producto Alimentos 2,Alimentos,Quito,Vendedor 6,Bodega Norte,5,3.4,0,17.0
SALE-02188,2025-01-03,2025,1,3,5,CUST-042,Cliente 42,PROD-009,Producto Bebidas 3,Bebidas,Quito,Vendedor 4,Bodega Norte,17,1.05,15,15.17
SALE-01239,2025-01-04,2025,1,4,6,CUST-013,Cliente 13,PROD-006,Producto Alimentos 6,Alimentos,Guayaquil,Vendedor 4,Bodega Principal,18,6.1,15,93.33
SALE-01246,2025-01-04,2025,1,4,6,CUST-011,Cliente 11,PROD-001,Producto Alimentos 1,Alimentos,Quito,Vendedor 4,Bodega Sur,3,3.26,10,8.8
SALE-01319,2025-01-04,2025,1,4,6,CUST-022,Cliente 22,PROD-005,Producto Alimentos 5,Alimentos,Quito,Vendedor 3,Bodega Principal,22,7.1,0,156.2
