sale_date,product_name,category_name,zone_name,salesman_name,warehouse_name,real_sales,predicted_sales,difference,percentage_error
2025-01-01,Producto Bebidas 6,Bebidas,Quito,Vendedor 8,Bodega Norte,4.68,4.8,0.12,2.48%
2025-01-01,Producto Cuidado Personal 5,Cuidado Personal,Guayaquil,Vendedor 6,Bodega Sur,202.5,201.43,1.07,0.53%
2025-01-01,Producto Cuidado Personal 6,Cuidado Personal,Guayaquil,Vendedor 6,Bodega Sur,142.56,148.86,6.3,4.42%
2025-01-01,Producto Limpieza 5,Limpieza,Quito,Vendedor 5,Bodega Principal,103.56,103.25,0.31,0.3%
2025-01-01,Producto Bebidas 3,Bebidas,Quito,Vendedor 1,Bodega Norte,21,20.26,0.74,3.54%
2025-01-01,Producto Cuidado Personal 3,Cuidado Personal,Cuenca,Vendedor 5,Bodega Principal,245.66,237.84,7.82,3.18%
2025-01-01,Producto Limpieza 1,Limpieza,Cuenca,Vendedor 7,Bodega Norte,167.58,161.41,6.17,3.68%
2025-01-01,Producto Alimentos 4,Alimentos,Guayaquil,Vendedor 4,Bodega Principal,29.26,29.45,0.19,0.63%
2025-01-02,Producto Alimentos 4,Alimentos,Cuenca,Vendedor 5,Bodega Sur,40.7,38.76,1.94,4.77%
2025-01-02,Producto Bebidas 6,Bebidas,Quito,Vendedor 4,Bodega Sur,12.93,13.18,0.25,1.95%
2025-01-02,Producto Limpieza 3,Limpieza,Quito,Vendedor 7,Bodega Norte,49.08,47.53,1.55,3.16%
2025-01-02,Producto Alimentos 6,Alimentos,Ambato,Vendedor 1,Bodega Sur,85.4,82.3,3.1,3.63%
2025-01-02,Producto Cuidado Personal 4,Cuidado Personal,Ambato,Vendedor 6,Bodega Sur,135.8,136.42,0.62,0.46%
2025-01-02,Producto Bebidas 1,Bebidas,Quito,Vendedor 1,Bodega Principal,18.76,18.34,0.42,2.23%
2025-01-03,Producto Cuidado Personal 4,Cuidado Personal,Guayaquil,Vendedor 5,Bodega Norte,96.76,99.36,2.6,2.68%
2025-01-03,Producto Alimentos 2,Alimentos,Quito,Vendedor 6,Bodega Norte,17,17.83,0.83,4.9%
2025-01-03,Producto Bebidas 3,Bebidas,Quito,Vendedor 4,Bodega Norte,15.17,15.27,0.1,0.63%
2025-01-04,Producto Alimentos 6,Alimentos,Guayaquil,Vendedor 4,Bodega Principal,93.33,94.36,1.03,1.1%
2025-01-04,Producto Alimentos 1,Alimentos,Quito,Vendedor 4,Bodega Sur,8.8,9.21,0.41,4.7%
2025-01-04,Producto Alimentos 5,Alimentos,Quito,Vendedor 3,Bodega Principal,156.2,149.4,6.8,4.35%
2025-01-04,Producto Electrodomésticos 6,Electrodomésticos,Guayaquil,Vendedor 1,Bodega Sur,2510.96,2509.75,1.21,0.05%
2025-01-04,Producto Alimentos 6,Alimentos,Manta,Vendedor 4,Bodega Norte,110.1,105.84,4.26,3.87%
2025-01-04,Producto Alimentos 1,Alimentos,Guayaquil,Vendedor 6,Bodega Norte,29.34,30.79,1.45,4.93%
2025-01-04,Producto Limpieza 5,Limpieza,Guayaquil,Vendedor 4,Bodega Norte,7.34,7.17,0.17,2.26%
2025-01-04,Producto Cuidado Personal 1,Cuidado Personal,Guayaquil,Vendedor 7,Bodega Sur,47.15,46.73,0.42,0.9%
2025-01-05,Producto Alimentos 6,Alimentos,Manta,Vendedor 3,Bodega Norte,42.7,44,1.3,3.03%
