sale_date,product_name,category_name,zone_name,salesman_name,warehouse_name,real_sales,predicted_sales,difference,percentage_error
2026-01-01,Producto Limpieza 6,Limpieza,Quito,Vendedor 1,Bodega Norte,9.07,43.71,34.64,381.94%
2026-01-01,Producto Alimentos 2,Alimentos,Quito,Vendedor 7,Bodega Norte,2.82,42.74,39.92,1415.6%
2026-01-01,Producto Bebidas 5,Bebidas,Manta,Vendedor 4,Bodega Norte,6.39,43.87,37.48,586.5%
2026-01-01,Producto Bebidas 3,Bebidas,Quito,Vendedor 4,Bodega Norte,2.4,40.9,38.5,1604.19%
2026-01-01,Producto Alimentos 6,Alimentos,Guayaquil,Vendedor 4,Bodega Principal,88.4,104.33,15.93,18.02%
2026-01-01,Producto Bebidas 1,Bebidas,Guayaquil,Vendedor 3,Bodega Sur,12.67,42.74,30.07,237.33%
2026-01-01,Producto Cuidado Personal 6,Cuidado Personal,Quito,Vendedor 6,Bodega Norte,26.54,43.66,17.12,64.51%
2026-01-01,Producto Electrodomésticos 2,Electrodomésticos,Guayaquil,Vendedor 4,Bodega Norte,3169.35,89.47,3079.88,97.18%
2026-01-01,Producto Alimentos 3,Alimentos,Quito,Vendedor 4,Bodega Norte,89.6,77.94,11.66,13.01%
2026-01-01,Producto Cuidado Personal 4,Cuidado Personal,Cuenca,Vendedor 6,Bodega Principal,178.78,58.74,120.04,67.14%
2026-01-01,Producto Cuidado Personal 4,Cuidado Personal,Quito,Vendedor 6,Bodega Principal,229.86,105.6,124.26,54.06%
2026-01-01,Producto Bebidas 1,Bebidas,Quito,Vendedor 3,Bodega Principal,2.13,42.74,40.61,1906.57%
2026-01-01,Producto Bebidas 2,Bebidas,Quito,Vendedor 1,Bodega Norte,10.3,36.32,26.02,252.6%
2026-01-02,Producto Alimentos 1,Alimentos,Cuenca,Vendedor 7,Bodega Norte,56.56,47.78,8.78,15.53%
2026-01-02,Producto Alimentos 1,Alimentos,Guayaquil,Vendedor 4,Bodega Norte,79.18,63.67,15.51,19.59%
2026-01-02,Producto Cuidado Personal 6,Cuidado Personal,Quito,Vendedor 1,Bodega Norte,237.49,117.16,120.33,50.67%
2026-01-02,Producto Alimentos 2,Alimentos,Guayaquil,Vendedor 6,Bodega Sur,50.76,46.11,4.65,9.17%
