sale_date,product_name,category_name,zone_name,salesman_name,warehouse_name,real_sales,predicted_sales,difference,percentage_error
2027-01-01,Producto Bebidas 6,Bebidas,Quito,Vendedor 8,Bodega Norte,4.68,16.73,12.05,257.53%
2027-01-01,Producto Cuidado Personal 5,Cuidado Personal,Guayaquil,Vendedor 6,Bodega Sur,202.5,188.05,14.45,7.14%
2027-01-01,Producto Cuidado Personal 6,Cuidado Personal,Guayaquil,Vendedor 6,Bodega Sur,142.56,139.29,3.27,2.29%
2027-01-01,Producto Limpieza 5,Limpieza,Quito,Vendedor 5,Bodega Principal,103.56,125.8,22.24,21.47%
2027-01-01,Producto Bebidas 3,Bebidas,Quito,Vendedor 1,Bodega Norte,21,8.6,12.4,59.06%
2027-01-01,Producto Cuidado Personal 3,Cuidado Personal,Cuenca,Vendedor 5,Bodega Principal,245.66,419.53,173.87,70.78%
2027-01-01,Producto Limpieza 1,Limpieza,Cuenca,Vendedor 7,Bodega Norte,167.58,162.93,4.65,2.77%
2027-01-01,Producto Alimentos 4,Alimentos,Guayaquil,Vendedor 4,Bodega Principal,29.26,25.89,3.37,11.53%
2027-01-02,Producto Alimentos 4,Alimentos,Cuenca,Vendedor 5,Bodega Sur,40.7,46.89,6.19,15.2%
2027-01-02,Producto Bebidas 6,Bebidas,Quito,Vendedor 4,Bodega Sur,12.93,-26.57,39.5,305.46%
2027-01-02,Producto Limpieza 3,Limpieza,Quito,Vendedor 7,Bodega Norte,49.08,46.73,2.35,4.79%
2027-01-02,Producto Alimentos 6,Alimentos,Ambato,Vendedor 1,Bodega Sur,85.4,90.46,5.06,5.92%
2027-01-02,Producto Cuidado Personal 4,Cuidado Personal,Ambato,Vendedor 6,Bodega Sur,135.8,135.47,0.33,0.24%
2027-01-02,Producto Bebidas 1,Bebidas,Quito,Vendedor 1,Bodega Principal,18.76,9.33,9.43,50.29%
2027-01-03,Producto Cuidado Personal 4,Cuidado Personal,Guayaquil,Vendedor 5,Bodega Norte,96.76,69.51,27.25,28.16%
2027-01-03,Producto Alimentos 2,Alimentos,Quito,Vendedor 6,Bodega Norte,17,14.25,2.75,16.19%
2027-01-03,Producto Bebidas 3,Bebidas,Quito,Vendedor 4,Bodega Norte,15.17,5.81,9.36,61.7%
2027-01-04,Producto Alimentos 6,Alimentos,Guayaquil,Vendedor 4,Bodega Principal,93.33,95.05,1.72,1.84%
2027-01-04,Producto Alimentos 1,Alimentos,Quito,Vendedor 4,Bodega Sur,8.8,-8.3,17.1,194.31%
2027-01-04,Producto Alimentos 5,Alimentos,Quito,Vendedor 3,Bodega Principal,156.2,182,25.8,16.52%
2027-01-04,Producto Electrodomésticos 6,Electrodomésticos,Guayaquil,Vendedor 1,Bodega Sur,2510.96,2610.91,99.95,3.98%
2027-01-04,Producto Alimentos 6,Alimentos,Manta,Vendedor 4,Bodega Norte,110.11,125.56,15.45,14.03%
2027-01-04,Producto Alimentos 1,Alimentos,Guayaquil,Vendedor 6,Bodega Norte,29.34,23.52,5.82,19.82%
2027-01-04,Producto Limpieza 5,Limpieza,Guayaquil,Vendedor 4,Bodega Norte,7.34,10,2.66,36.26%
2027-01-04,Producto Cuidado Personal 1,Cuidado Personal,Guayaquil,Vendedor 7,Bodega Sur,47.15,50.27,3.12,6.62%
2027-01-05,Producto Alimentos 6,Alimentos,Manta,Vendedor 3,Bodega Norte,42.7,51.64,8.94,20.93%
2027-01-05,Producto Limpieza 5,Limpieza,Guayaquil,Vendedor 7,Bodega Norte,147.57,160.05,12.48,8.46%
2027-01-05,Producto Electrodomésticos 2,Electrodomésticos,Guayaquil,Vendedor 6,Bodega Sur,1887.67,1987.06,99.39,5.27%
2027-01-05,Producto Electrodomésticos 2,Electrodomésticos,Ambato,Vendedor 3,Bodega Principal,726.03,905.34,179.31,24.7%
2027-01-05,Producto Alimentos 5,Alimentos,Manta,Vendedor 5,Bodega Sur,49.7,57.78,8.08,16.27%
2027-01-05,Producto Alimentos 2,Alimentos,Cuenca,Vendedor 6,Bodega Sur,47.6,29.95,17.65,37.08%
2027-01-05,Producto Limpieza 5,Limpieza,Cuenca,Vendedor 5,Bodega Principal,200.22,207.35,7.13,3.56%
2027-01-05,Producto Bebidas 2,Bebidas,Quito,Vendedor 3,Bodega Principal,15.12,6.63,8.49,56.12%
2027-01-05,Producto Alimentos 6,Alimentos,Cuenca,Vendedor 8,Bodega Norte,5.79,16.64,10.85,187.46%
2027-01-05,Producto Alimentos 2,Alimentos,Cuenca,Vendedor 8,Bodega Principal,16.15,23.97,7.82,48.44%
2027-01-06,Producto Alimentos 2,Alimentos,Quito,Vendedor 2,Bodega Principal,10.2,-0.92,11.12,109.02%
2027-01-06,Producto Alimentos 6,Alimentos,Guayaquil,Vendedor 4,Bodega Sur,76.86,82.37,5.51,7.17%
2027-01-06,Producto Alimentos 6,Alimentos,Guayaquil,Vendedor 4,Bodega Norte,28.98,33.79,4.81,16.59%
2027-01-06,Producto Electrodomésticos 4,Electrodomésticos,Quito,Vendedor 6,Bodega Principal,309.51,393.88,84.37,27.26%
2027-01-06,Producto Alimentos 5,Alimentos,Quito,Vendedor 7,Bodega Sur,78.1,82.81,4.71,6.03%
2027-01-06,Producto Limpieza 1,Limpieza,Guayaquil,Vendedor 2,Bodega Principal,172.37,158.76,13.61,7.9%
2027-01-06,Producto Limpieza 6,Limpieza,Quito,Vendedor 5,Bodega Sur,35.45,21.14,14.31,40.37%
2027-01-06,Producto Bebidas 5,Bebidas,Guayaquil,Vendedor 8,Bodega Norte,34.91,15.53,19.38,55.5%
2027-01-06,Producto Alimentos 6,Alimentos,Quito,Vendedor 1,Bodega Principal,48.8,56.32,7.52,15.42%
2027-01-06,Producto Cuidado Personal 2,Cuidado Personal,Ambato,Vendedor 5,Bodega Sur,56.4,62.97,6.57,11.64%
2027-01-06,Producto Alimentos 3,Alimentos,Quito,Vendedor 1,Bodega Principal,13.34,10.34,3,22.48%
2027-01-06,Producto Bebidas 3,Bebidas,Quito,Vendedor 3,Bodega Principal,13.65,5.1,8.55,62.65%
2027-01-06,Producto Alimentos 6,Alimentos,Guayaquil,Vendedor 6,Bodega Sur,98.82,96.67,2.15,2.18%
2027-01-07,Producto Alimentos 1,Alimentos,Quito,Vendedor 3,Bodega Norte,13.04,3.8,9.24,70.85%
2027-01-07,Producto Cuidado Personal 2,Cuidado Personal,Quito,Vendedor 2,Bodega Norte,10.72,-0.4,11.12,103.77%
2027-01-07,Producto Alimentos 5,Alimentos,Quito,Vendedor 1,Bodega Sur,96.56,123.62,27.06,28.02%
2027-01-07,Producto Bebidas 6,Bebidas,Guayaquil,Vendedor 8,Bodega Norte,5.26,1.86,3.4,64.61%
2027-01-07,Producto Alimentos 4,Alimentos,Guayaquil,Vendedor 3,Bodega Principal,15.16,6.15,9.01,59.45%
2027-01-07,Producto Cuidado Personal 3,Cuidado Personal,Quito,Vendedor 6,Bodega Norte,51.18,32.27,18.91,36.96%
2027-01-07,Producto Alimentos 6,Alimentos,Quito,Vendedor 7,Bodega Sur,103.7,104.74,1.04,1%
2027-01-07,Producto Alimentos 6,Alimentos,Manta,Vendedor 3,Bodega Sur,46.67,62.29,15.62,33.46%
2027-01-08,Producto Alimentos 5,Alimentos,Cuenca,Vendedor 7,Bodega Principal,120.7,133.71,13.01,10.78%
2027-01-08,Producto Bebidas 2,Bebidas,Quito,Vendedor 5,Bodega Principal,20.16,16.48,3.68,18.28%
2027-01-08,Producto Alimentos 5,Alimentos,Ambato,Vendedor 6,Bodega Norte,73.84,95.52,21.68,29.36%
2027-01-09,Producto Alimentos 4,Alimentos,Cuenca,Vendedor 5,Bodega Sur,10.64,13.07,2.43,22.79%
2027-01-09,Producto Bebidas 2,Bebidas,Quito,Vendedor 3,Bodega Norte,14.36,18.22,3.86,26.88%
2027-01-09,Producto Cuidado Personal 4,Cuidado Personal,Quito,Vendedor 2,Bodega Principal,6.79,20.72,13.93,205.22%
2027-01-09,Producto Alimentos 5,Alimentos,Quito,Vendedor 5,Bodega Principal,14.2,41.94,27.74,195.36%
2027-01-09,Producto Alimentos 2,Alimentos,Guayaquil,Vendedor 1,Bodega Principal,35.36,24.9,10.46,29.59%
2027-01-09,Producto Alimentos 2,Alimentos,Quito,Vendedor 1,Bodega Norte,23.8,19.55,4.25,17.86%
2027-01-10,Producto Bebidas 1,Bebidas,Quito,Vendedor 1,Bodega Sur,13.2,11.77,1.43,10.82%
2027-01-10,Producto Bebidas 1,Bebidas,Cuenca,Vendedor 7,Bodega Sur,7.92,12.44,4.52,57.13%
2027-01-10,Producto Alimentos 6,Alimentos,Guayaquil,Vendedor 5,Bodega Principal,128.1,123.84,4.26,3.32%
2027-01-10,Producto Alimentos 4,Alimentos,Guayaquil,Vendedor 6,Bodega Principal,38.3,23.95,14.35,37.46%
2027-01-10,Producto Alimentos 6,Alimentos,Quito,Vendedor 2,Bodega Principal,119.26,127.33,8.07,6.76%
2027-01-10,Producto Limpieza 4,Limpieza,Manta,Vendedor 3,Bodega Sur,26.42,17.95,8.47,32.07%
2027-01-11,Producto Alimentos 1,Alimentos,Manta,Vendedor 1,Bodega Sur,48.9,37.81,11.09,22.69%
2027-01-11,Producto Electrodomésticos 2,Electrodomésticos,Guayaquil,Vendedor 8,Bodega Sur,1879.13,1890.69,11.56,0.62%
2027-01-11,Producto Bebidas 1,Bebidas,Guayaquil,Vendedor 3,Bodega Norte,4.45,-11.61,16.06,360.96%
2027-01-11,Producto Cuidado Personal 3,Cuidado Personal,Guayaquil,Vendedor 1,Bodega Norte,272.96,256.16,16.8,6.15%
2027-01-12,Producto Bebidas 2,Bebidas,Guayaquil,Vendedor 1,Bodega Sur,8.06,-10.89,18.95,235.12%
2027-01-12,Producto Electrodomésticos 6,Electrodomésticos,Quito,Vendedor 8,Bodega Principal,2202.6,1534.87,667.73,30.32%
2027-01-12,Producto Electrodomésticos 4,Electrodomésticos,Guayaquil,Vendedor 5,Bodega Sur,928.53,930.55,2.02,0.22%
2027-01-12,Producto Cuidado Personal 6,Cuidado Personal,Quito,Vendedor 3,Bodega Norte,249.48,225.08,24.4,9.78%
2027-01-12,Producto Alimentos 6,Alimentos,Guayaquil,Vendedor 8,Bodega Norte,158.6,161.3,2.7,1.7%
2027-01-12,Producto Bebidas 1,Bebidas,Manta,Vendedor 6,Bodega Principal,1.18,-10.57,11.75,995.51%
2027-01-12,Producto Cuidado Personal 1,Cuidado Personal,Cuenca,Vendedor 6,Bodega Principal,198.03,203.13,5.1,2.58%
2027-01-13,Producto Alimentos 3,Alimentos,Quito,Vendedor 5,Bodega Norte,14.82,7.87,6.95,46.92%
2027-01-13,Producto Cuidado Personal 6,Cuidado Personal,Quito,Vendedor 1,Bodega Sur,71.28,69.98,1.3,1.82%
2027-01-13,Producto Bebidas 5,Bebidas,Guayaquil,Vendedor 2,Bodega Norte,36.75,20.16,16.59,45.14%
2027-01-13,Producto Electrodomésticos 3,Electrodomésticos,Cuenca,Vendedor 7,Bodega Principal,102.7,154.68,51.98,50.62%
2027-01-13,Producto Bebidas 5,Bebidas,Guayaquil,Vendedor 3,Bodega Principal,31.24,27.33,3.91,12.52%
2027-01-13,Producto Limpieza 6,Limpieza,Guayaquil,Vendedor 5,Bodega Sur,18.66,16.75,1.91,10.22%
2027-01-13,Producto Bebidas 3,Bebidas,Guayaquil,Vendedor 2,Bodega Sur,18.9,14.13,4.77,25.22%
2027-01-13,Producto Alimentos 6,Alimentos,Guayaquil,Vendedor 4,Bodega Principal,46.67,53.21,6.54,14%
2027-01-13,Producto Bebidas 1,Bebidas,Quito,Vendedor 4,Bodega Principal,17.72,9.04,8.68,48.99%
2027-01-14,Producto Alimentos 6,Alimentos,Guayaquil,Vendedor 1,Bodega Norte,5.18,7.89,2.71,52.24%
2027-01-14,Producto Alimentos 1,Alimentos,Quito,Vendedor 1,Bodega Principal,15.48,10.69,4.79,30.91%
2027-01-14,Producto Electrodomésticos 4,Electrodomésticos,Quito,Vendedor 6,Bodega Principal,1547.55,1585.03,37.48,2.42%
