sale_id,sale_date,year_number,month_number,day_number,day_of_week,customer_code,customer_name,product_code,product_name,category_name,zone_name,salesman_name,warehouse_name,quantity,unit_price,discount_percentage,total_sales
SALE-00577,2027-01-01,2027,1,1,5,CUST-031,Cliente 31,PROD-025,Producto Electrodomésticos 1,Electrodomésticos,Quito,Vendedor 4,Bodega Principal,22,84.08,5,1757.27
SALE-00839,2027-01-01,2027,1,1,5,CUST-048,Cliente 48,PROD-021,Producto Cuidado Personal 3,Cuidado Personal,Quito,Vendedor 2,Bodega Principal,28,16.09,15,382.94
SALE-01842,2027-01-01,2027,1,1,5,CUST-046,Cliente 46,PROD-003,Producto Alimentos 3,Alimentos,Manta,Vendedor 4,Bodega Principal,8,6.19,0,49.52
SALE-02344,2027-01-01,2027,1,1,5,CUST-015,Cliente 15,PROD-009,Producto Bebidas 3,Bebidas,Guayaquil,Vendedor 6,Bodega Sur,8,1.9,20,12.16
SALE-02939,2027-01-01,2027,1,1,5,CUST-050,Cliente 50,PROD-018,Producto Limpieza 6,Limpieza,Guayaquil,Vendedor 2,Bodega Sur,21,11.17,10,211.11
SALE-01663,2027-01-02,2027,1,2,6,CUST-033,Cliente 33,PROD-006,Producto Alimentos 6,Alimentos,Ambato,Vendedor 2,Bodega Principal,6,2.91,10,15.71
SALE-01741,2027-01-02,2027,1,2,6,CUST-042,Cliente 42,PROD-003,Producto Alimentos 3,Alimentos,Guayaquil,Vendedor 3,Bodega Norte,16,6.19,0,99.04
SALE-01862,2027-01-02,2027,1,2,6,CUST-020,Cliente 20,PROD-019,Producto Cuidado Personal 1,Cuidado Personal,Cuenca,Vendedor 8,Bodega Principal,6,7.32,15,37.33
SALE-01167,2027-01-03,2027,1,3,7,CUST-037,Cliente 37,PROD-005,Producto Alimentos 5,Alimentos,Guayaquil,Vendedor 3,Bodega Norte,20,5.14,20,82.24
SALE-02458,2027-01-03,2027,1,3,7,CUST-012,Cliente 12,PROD-019,Producto Cuidado Personal 1,Cuidado Personal,Quito,Vendedor 7,Bodega Sur,8,7.32,0,58.56
SALE-02918,2027-01-03,2027,1,3,7,CUST-025,Cliente 25,PROD-002,Producto Alimentos 2,Alimentos,Ambato,Vendedor 2,Bodega Sur,20,2.5,10,45.0
SALE-00315,2027-01-04,2027,1,4,1,CUST-023,Cliente 23,PROD-013,Producto Limpieza 1,Limpieza,Guayaquil,Vendedor 3,Bodega Norte,10,8.64,0,86.4
SALE-00348,2027-01-04,2027,1,4,1,CUST-004,Cliente 4,PROD-022,Producto Cuidado Personal 4,Cuidado Personal,Guayaquil,Vendedor 2,Bodega Sur,6,10.85,0,65.1
SALE-00638,2027-01-04,2027,1,4,1,CUST-025,Cliente 25,PROD-007,Producto Bebidas 1,Bebidas,Manta,Vendedor 3,Bodega Norte,18,1.02,0,18.36
SALE-00834,2027-01-04,2027,1,4,1,CUST-050,Cliente 50,PROD-002,Producto Alimentos 2,Alimentos,Quito,Vendedor 6,Bodega Principal,5,2.5,20,10.0
SALE-00995,2027-01-04,2027,1,4,1,CUST-041,Cliente 41,PROD-006,Producto Alimentos 6,Alimentos,Cuenca,Vendedor 8,Bodega Principal,6,2.91,5,16.59
SALE-01267,2027-01-04,2027,1,4,1,CUST-004,Cliente 4,PROD-002,Producto Alimentos 2,Alimentos,Guayaquil,Vendedor 4,Bodega Sur,4,2.5,15,8.5
