sale_id,sale_date,year_number,month_number,day_number,day_of_week,customer_code,customer_name,product_code,product_name,category_name,zone_name,salesman_name,warehouse_name,quantity,unit_price,discount_percentage,total_sales
SALE-00369,2026-01-01,2026,1,1,4,CUST-007,Cliente 7,PROD-018,Producto Limpieza 6,Limpieza,Quito,Vendedor 1,Bodega Norte,1,9.55,5,9.07
SALE-00787,2026-01-01,2026,1,1,4,CUST-031,Cliente 31,PROD-002,Producto Alimentos 2,Alimentos,Quito,Vendedor 7,Bodega Norte,1,2.82,0,2.82
SALE-01032,2026-01-01,2026,1,1,4,CUST-043,Cliente 43,PROD-011,Producto Bebidas 5,Bebidas,Manta,Vendedor 4,Bodega Norte,4,1.88,15,6.39
SALE-01633,2026-01-01,2026,1,1,4,CUST-011,Cliente 11,PROD-009,Producto Bebidas 3,Bebidas,Quito,Vendedor 4,Bodega Norte,3,1.0,20,2.4
SALE-01691,2026-01-01,2026,1,1,4,CUST-015,Cliente 15,PROD-006,Producto Alimentos 6,Alimentos,Guayaquil,Vendedor 4,Bodega Principal,20,4.42,0,88.4
SALE-01693,2026-01-01,2026,1,1,4,CUST-015,Cliente 15,PROD-007,Producto Bebidas 1,Bebidas,Guayaquil,Vendedor 3,Bodega Sur,7,2.13,15,12.67
SALE-01875,2026-01-01,2026,1,1,4,CUST-045,Cliente 45,PROD-024,Producto Cuidado Personal 6,Cuidado Personal,Quito,Vendedor 6,Bodega Norte,2,13.97,5,26.54
SALE-01975,2026-01-01,2026,1,1,4,CUST-037,Cliente 37,PROD-026,Producto Electrodomésticos 2,Electrodomésticos,Guayaquil,Vendedor 4,Bodega Norte,15,211.29,0,3169.35
SALE-02007,2026-01-01,2026,1,1,4,CUST-037,Cliente 37,PROD-003,Producto Alimentos 3,Alimentos,Quito,Vendedor 4,Bodega Norte,16,7.0,20,89.6
SALE-02194,2026-01-01,2026,1,1,4,CUST-027,Cliente 27,PROD-022,Producto Cuidado Personal 4,Cuidado Personal,Cuenca,Vendedor 6,Bodega Principal,14,12.77,0,178.78
SALE-02232,2026-01-01,2026,1,1,4,CUST-009,Cliente 9,PROD-022,Producto Cuidado Personal 4,Cuidado Personal,Quito,Vendedor 6,Bodega Principal,18,12.77,0,229.86
SALE-02272,2026-01-01,2026,1,1,4,CUST-036,Cliente 36,PROD-007,Producto Bebidas 1,Bebidas,Quito,Vendedor 3,Bodega Principal,1,2.13,0,2.13
SALE-02872,2026-01-01,2026,1,1,4,CUST-018,Cliente 18,PROD-008,Producto Bebidas 2,Bebidas,Quito,Vendedor 1,Bodega Norte,5,2.06,0,10.3
SALE-00179,2026-01-02,2026,1,2,5,CUST-026,Cliente 26,PROD-001,Producto Alimentos 1,Alimentos,Cuenca,Vendedor 7,Bodega Norte,8,7.07,0,56.56
SALE-00180,2026-01-02,2026,1,2,5,CUST-032,Cliente 32,PROD-001,Producto Alimentos 1,Alimentos,Guayaquil,Vendedor 4,Bodega Norte,14,7.07,20,79.18
SALE-00569,2026-01-02,2026,1,2,5,CUST-041,Cliente 41,PROD-024,Producto Cuidado Personal 6,Cuidado Personal,Quito,Vendedor 1,Bodega Norte,20,13.97,15,237.49
SALE-00812,2026-01-02,2026,1,2,5,CUST-037,Cliente 37,PROD-002,Producto Alimentos 2,Alimentos,Guayaquil,Vendedor 6,Bodega Sur,18,2.82,0,50.76
SALE-01009,2026-01-02,2026,1,2,5,CUST-032,Cliente 32,PROD-006,Producto Alimentos 6,Alimentos,Guayaquil,Vendedor 1,Bodega Principal,25,4.42,0,110.5
SALE-01731,2026-01-02,2026,1,2,5,CUST-021,Cliente 21,PROD-008,Producto Bebidas 2,Bebidas,Guayaquil,Vendedor 7,Bodega Principal,6,2.06,0,12.36
SALE-01838,2026-01-02,2026,1,2,5,CUST-025,Cliente 25,PROD-018,Producto Limpieza 6,Limpieza,Cuenca,Vendedor 5,Bodega Principal,17,9.55,0,162.35
SALE-01977,2026-01-02,2026,1,2,5,CUST-011,Cliente 11,PROD-002,Producto Alimentos 2,Alimentos,Guayaquil,Vendedor 5,Bodega Norte,5,2.82,0,14.1
SALE-02073,2026-01-02,2026,1,2,5,CUST-041,Cliente 41,PROD-005,Producto Alimentos 5,Alimentos,Guayaquil,Vendedor 3,Bodega Norte,3,4.79,15,12.21
SALE-02330,2026-01-02,2026,1,2,5,CUST-012,Cliente 12,PROD-001,Producto Alimentos 1,Alimentos,Guayaquil,Vendedor 1,Bodega Principal,12,7.07,0,84.84
SALE-00155,2026-01-03,2026,1,3,6,CUST-034,Cliente 34,PROD-018,Producto Limpieza 6,Limpieza,Guayaquil,Vendedor 5,Bodega Norte,27,9.55,5,244.96
SALE-00221,2026-01-03,2026,1,3,6,CUST-025,Cliente 25,PROD-002,Producto Alimentos 2,Alimentos,Quito,Vendedor 2,Bodega Norte,13,2.82,0,36.66
SALE-00889,2026-01-03,2026,1,3,6,CUST-042,Cliente 42,PROD-002,Producto Alimentos 2,Alimentos,Guayaquil,Vendedor 3,Bodega Norte,7,2.82,0,19.74
SALE-01055,2026-01-03,2026,1,3,6,CUST-003,Cliente 3,PROD-018,Producto Limpieza 6,Limpieza,Manta,Vendedor 6,Bodega Principal,1,9.55,15,8.12
SALE-01901,2026-01-03,2026,1,3,6,CUST-013,Cliente 13,PROD-003,Producto Alimentos 3,Alimentos,Cuenca,Vendedor 6,Bodega Sur,21,7.0,10,132.3
SALE-02100,2026-01-03,2026,1,3,6,CUST-015,Cliente 15,PROD-003,Producto Alimentos 3,Alimentos,Ambato,Vendedor 8,Bodega Norte,23,7.0,15,136.85
SALE-02489,2026-01-03,2026,1,3,6,CUST-006,Cliente 6,PROD-008,Producto Bebidas 2,Bebidas,Ambato,Vendedor 5,Bodega Sur,22,2.06,0,45.32
SALE-02761,2026-01-03,2026,1,3,6,CUST-041,Cliente 41,PROD-012,Producto Bebidas 6,Bebidas,Cuenca,Vendedor 6,Bodega Sur,25,1.3,5,30.88
SALE-02868,2026-01-03,2026,1,3,6,CUST-030,Cliente 30,PROD-005,Producto Alimentos 5,Alimentos,Quito,Vendedor 3,Bodega Sur,25,4.79,0,119.75
SALE-00745,2026-01-04,2026,1,4,7,CUST-033,Cliente 33,PROD-002,Producto Alimentos 2,Alimentos,Quito,Vendedor 2,Bodega Principal,4,2.82,20,9.02
SALE-00905,2026-01-04,2026,1,4,7,CUST-046,Cliente 46,PROD-011,Producto Bebidas 5,Bebidas,Cuenca,Vendedor 6,Bodega Principal,28,1.88,0,52.64
SALE-00919,2026-01-04,2026,1,4,7,CUST-049,Cliente 49,PROD-014,Producto Limpieza 2,Limpieza,Manta,Vendedor 3,Bodega Norte,23,5.55,0,127.65
SALE-01338,2026-01-04,2026,1,4,7,CUST-018,Cliente 18,PROD-016,Producto Limpieza 4,Limpieza,Ambato,Vendedor 7,Bodega Principal,5,6.87,0,34.35
SALE-02098,2026-01-04,2026,1,4,7,CUST-024,Cliente 24,PROD-010,Producto Bebidas 4,Bebidas,Cuenca,Vendedor 5,Bodega Norte,19,2.46,20,37.39
SALE-02259,2026-01-04,2026,1,4,7,CUST-030,Cliente 30,PROD-023,Producto Cuidado Personal 5,Cuidado Personal,Manta,Vendedor 7,Bodega Norte,28,11.43,15,272.03
SALE-02391,2026-01-04,2026,1,4,7,CUST-018,Cliente 18,PROD-005,Producto Alimentos 5,Alimentos,Guayaquil,Vendedor 4,Bodega Sur,6,4.79,20,22.99
SALE-02675,2026-01-04,2026,1,4,7,CUST-050,Cliente 50,PROD-001,Producto Alimentos 1,Alimentos,Manta,Vendedor 7,Bodega Sur,18,7.07,0,127.26
SALE-00004,2026-01-05,2026,1,5,1,CUST-003,Cliente 3,PROD-027,Producto Electrodomésticos 3,Electrodomésticos,Guayaquil,Vendedor 6,Bodega Norte,6,127.84,20,613.63
SALE-00056,2026-01-05,2026,1,5,1,CUST-002,Cliente 2,PROD-025,Producto Electrodomésticos 1,Electrodomésticos,Guayaquil,Vendedor 8,Bodega Principal,4,95.48,10,343.73
SALE-00738,2026-01-05,2026,1,5,1,CUST-049,Cliente 49,PROD-014,Producto Limpieza 2,Limpieza,Guayaquil,Vendedor 3,Bodega Sur,8,5.55,20,35.52
SALE-01310,2026-01-05,2026,1,5,1,CUST-028,Cliente 28,PROD-022,Producto Cuidado Personal 4,Cuidado Personal,Cuenca,Vendedor 3,Bodega Principal,11,12.77,0,140.47
SALE-02328,2026-01-05,2026,1,5,1,CUST-032,Cliente 32,PROD-017,Producto Limpieza 5,Limpieza,Manta,Vendedor 6,Bodega Sur,3,5.21,10,14.07
SALE-02412,2026-01-05,2026,1,5,1,CUST-020,Cliente 20,PROD-024,Producto Cuidado Personal 6,Cuidado Personal,Quito,Vendedor 3,Bodega Principal,18,13.97,10,226.31
SALE-02802,2026-01-05,2026,1,5,1,CUST-037,Cliente 37,PROD-016,Producto Limpieza 4,Limpieza,Ambato,Vendedor 4,Bodega Principal,4,6.87,10,24.73
SALE-00331,2026-01-06,2026,1,6,2,CUST-032,Cliente 32,PROD-006,Producto Alimentos 6,Alimentos,Manta,Vendedor 4,Bodega Sur,5,4.42,15,18.79
SALE-01395,2026-01-06,2026,1,6,2,CUST-022,Cliente 22,PROD-007,Producto Bebidas 1,Bebidas,Cuenca,Vendedor 1,Bodega Principal,3,2.13,10,5.75
SALE-01469,2026-01-06,2026,1,6,2,CUST-017,Cliente 17,PROD-007,Producto Bebidas 1,Bebidas,Quito,Vendedor 4,Bodega Norte,7,2.13,0,14.91
SALE-01777,2026-01-06,2026,1,6,2,CUST-004,Cliente 4,PROD-006,Producto Alimentos 6,Alimentos,Guayaquil,Vendedor 2,Bodega Norte,20,4.42,0,88.4
SALE-02081,2026-01-06,2026,1,6,2,CUST-028,Cliente 28,PROD-011,Producto Bebidas 5,Bebidas,Quito,Vendedor 2,Bodega Sur,16,1.88,15,25.57
SALE-02138,2026-01-06,2026,1,6,2,CUST-017,Cliente 17,PROD-012,Producto Bebidas 6,Bebidas,Cuenca,Vendedor 8,Bodega Sur,8,1.3,15,8.84
SALE-02395,2026-01-06,2026,1,6,2,CUST-021,Cliente 21,PROD-005,Producto Alimentos 5,Alimentos,Guayaquil,Vendedor 1,Bodega Principal,17,4.79,0,81.43
SALE-00026,2026-01-07,2026,1,7,3,CUST-028,Cliente 28,PROD-009,Producto Bebidas 3,Bebidas,Cuenca,Vendedor 1,Bodega Sur,18,1.0,10,16.2
SALE-00147,2026-01-07,2026,1,7,3,CUST-006,Cliente 6,PROD-011,Producto Bebidas 5,Bebidas,Quito,Vendedor 5,Bodega Principal,9,1.88,0,16.92
SALE-00425,2026-01-07,2026,1,7,3,CUST-006,Cliente 6,PROD-029,Producto Electrodomésticos 5,Electrodomésticos,Quito,Vendedor 6,Bodega Principal,10,136.12,0,1361.2
SALE-00472,2026-01-07,2026,1,7,3,CUST-026,Cliente 26,PROD-022,Producto Cuidado Personal 4,Cuidado Personal,Manta,Vendedor 1,Bodega Principal,2,12.77,0,25.54
SALE-00675,2026-01-07,2026,1,7,3,CUST-011,Cliente 11,PROD-007,Producto Bebidas 1,Bebidas,Quito,Vendedor 7,Bodega Norte,19,2.13,10,36.42
SALE-01463,2026-01-07,2026,1,7,3,CUST-016,Cliente 16,PROD-007,Producto Bebidas 1,Bebidas,Cuenca,Vendedor 5,Bodega Sur,10,2.13,15,18.1
