sale_id,sale_date,year_number,month_number,day_number,day_of_week,customer_code,customer_name,product_code,product_name,category_name,zone_name,salesman_name,warehouse_name,quantity,unit_price,discount_percentage,total_sales
SALE-2027-00001,2027-01-01,2027,1,1,5,CUST-031,Cliente 31,PROD-012,Producto Bebidas 6,Bebidas,Quito,Vendedor 8,Bodega Norte,4,1.17,0,4.68
SALE-2027-00002,2027-01-01,2027,1,1,5,CUST-031,Cliente 31,PROD-023,Producto Cuidado Personal 5,Cuidado Personal,Guayaquil,Vendedor 6,Bodega Sur,18,11.25,0,202.5
SALE-2027-00003,2027-01-01,2027,1,1,5,CUST-008,Cliente 8,PROD-024,Producto Cuidado Personal 6,Cuidado Personal,Guayaquil,Vendedor 6,Bodega Sur,16,8.91,0,142.56
SALE-2027-00004,2027-01-01,2027,1,1,5,CUST-028,Cliente 28,PROD-017,Producto Limpieza 5,Limpieza,Quito,Vendedor 5,Bodega Principal,15,8.63,20,103.56
SALE-2027-00005,2027-01-01,2027,1,1,5,CUST-032,Cliente 32,PROD-009,Producto Bebidas 3,Bebidas,Quito,Vendedor 1,Bodega Norte,20,1.05,0,21
SALE-2027-00006,2027-01-01,2027,1,1,5,CUST-020,Cliente 20,PROD-021,Producto Cuidado Personal 3,Cuidado Personal,Cuenca,Vendedor 5,Bodega Principal,18,17.06,20,245.66
SALE-2027-00007,2027-01-01,2027,1,1,5,CUST-041,Cliente 41,PROD-013,Producto Limpieza 1,Limpieza,Cuenca,Vendedor 7,Bodega Norte,14,11.97,0,167.58
SALE-2027-00008,2027-01-01,2027,1,1,5,CUST-004,Cliente 4,PROD-004,Producto Alimentos 4,Alimentos,Guayaquil,Vendedor 4,Bodega Principal,11,2.66,0,29.26
SALE-2027-00009,2027-01-02,2027,1,2,6,CUST-025,Cliente 25,PROD-004,Producto Alimentos 4,Alimentos,Cuenca,Vendedor 5,Bodega Sur,18,2.66,15,40.7
SALE-2027-00010,2027-01-02,2027,1,2,6,CUST-007,Cliente 7,PROD-012,Producto Bebidas 6,Bebidas,Quito,Vendedor 4,Bodega Sur,13,1.17,15,12.93
SALE-2027-00011,2027-01-02,2027,1,2,6,CUST-029,Cliente 29,PROD-015,Producto Limpieza 3,Limpieza,Quito,Vendedor 7,Bodega Norte,7,7.38,5,49.08
SALE-2027-00012,2027-01-02,2027,1,2,6,CUST-017,Cliente 17,PROD-006,Producto Alimentos 6,Alimentos,Ambato,Vendedor 1,Bodega Sur,14,6.1,0,85.4
SALE-2027-00013,2027-01-02,2027,1,2,6,CUST-012,Cliente 12,PROD-022,Producto Cuidado Personal 4,Cuidado Personal,Ambato,Vendedor 6,Bodega Sur,20,6.79,0,135.8
SALE-2027-00014,2027-01-02,2027,1,2,6,CUST-011,Cliente 11,PROD-007,Producto Bebidas 1,Bebidas,Quito,Vendedor 1,Bodega Principal,15,1.39,10,18.76
SALE-2027-00015,2027-01-03,2027,1,3,7,CUST-035,Cliente 35,PROD-022,Producto Cuidado Personal 4,Cuidado Personal,Guayaquil,Vendedor 5,Bodega Norte,15,6.79,5,96.76
SALE-2027-00016,2027-01-03,2027,1,3,7,CUST-010,Cliente 10,PROD-002,Producto Alimentos 2,Alimentos,Quito,Vendedor 6,Bodega Norte,5,3.4,0,17
SALE-2027-00017,2027-01-03,2027,1,3,7,CUST-042,Cliente 42,PROD-009,Producto Bebidas 3,Bebidas,Quito,Vendedor 4,Bodega Norte,17,1.05,15,15.17
SALE-2027-00018,2027-01-04,2027,1,4,1,CUST-013,Cliente 13,PROD-006,Producto Alimentos 6,Alimentos,Guayaquil,Vendedor 4,Bodega Principal,18,6.1,15,93.33
SALE-2027-00019,2027-01-04,2027,1,4,1,CUST-011,Cliente 11,PROD-001,Producto Alimentos 1,Alimentos,Quito,Vendedor 4,Bodega Sur,3,3.26,10,8.8
SALE-2027-00020,2027-01-04,2027,1,4,1,CUST-022,Cliente 22,PROD-005,Producto Alimentos 5,Alimentos,Quito,Vendedor 3,Bodega Principal,22,7.1,0,156.2
SALE-2027-00021,2027-01-04,2027,1,4,1,CUST-006,Cliente 6,PROD-030,Producto Electrodomésticos 6,Electrodomésticos,Guayaquil,Vendedor 1,Bodega Sur,24,110.13,5,2510.96
SALE-2027-00022,2027-01-04,2027,1,4,1,CUST-019,Cliente 19,PROD-006,Producto Alimentos 6,Alimentos,Manta,Vendedor 4,Bodega Norte,19,6.1,5,110.11
SALE-2027-00023,2027-01-04,2027,1,4,1,CUST-012,Cliente 12,PROD-001,Producto Alimentos 1,Alimentos,Guayaquil,Vendedor 6,Bodega Norte,9,3.26,0,29.34
SALE-2027-00024,2027-01-04,2027,1,4,1,CUST-049,Cliente 49,PROD-017,Producto Limpieza 5,Limpieza,Guayaquil,Vendedor 4,Bodega Norte,1,8.63,15,7.34
SALE-2027-00025,2027-01-04,2027,1,4,1,CUST-013,Cliente 13,PROD-019,Producto Cuidado Personal 1,Cuidado Personal,Guayaquil,Vendedor 7,Bodega Sur,5,9.43,0,47.15
SALE-2027-00026,2027-01-05,2027,1,5,2,CUST-005,Cliente 5,PROD-006,Producto Alimentos 6,Alimentos,Manta,Vendedor 3,Bodega Norte,7,6.1,0,42.7
SALE-2027-00027,2027-01-05,2027,1,5,2,CUST-006,Cliente 6,PROD-017,Producto Limpieza 5,Limpieza,Guayaquil,Vendedor 7,Bodega Norte,18,8.63,5,147.57
SALE-2027-00028,2027-01-05,2027,1,5,2,CUST-025,Cliente 25,PROD-026,Producto Electrodomésticos 2,Electrodomésticos,Guayaquil,Vendedor 6,Bodega Sur,13,170.83,15,1887.67
SALE-2027-00029,2027-01-05,2027,1,5,2,CUST-048,Cliente 48,PROD-026,Producto Electrodomésticos 2,Electrodomésticos,Ambato,Vendedor 3,Bodega Principal,5,170.83,15,726.03
SALE-2027-00030,2027-01-05,2027,1,5,2,CUST-008,Cliente 8,PROD-005,Producto Alimentos 5,Alimentos,Manta,Vendedor 5,Bodega Sur,7,7.1,0,49.7
SALE-2027-00031,2027-01-05,2027,1,5,2,CUST-027,Cliente 27,PROD-002,Producto Alimentos 2,Alimentos,Cuenca,Vendedor 6,Bodega Sur,14,3.4,0,47.6
SALE-2027-00032,2027-01-05,2027,1,5,2,CUST-006,Cliente 6,PROD-017,Producto Limpieza 5,Limpieza,Cuenca,Vendedor 5,Bodega Principal,29,8.63,20,200.22
SALE-2027-00033,2027-01-05,2027,1,5,2,CUST-043,Cliente 43,PROD-008,Producto Bebidas 2,Bebidas,Quito,Vendedor 3,Bodega Principal,6,2.52,0,15.12
SALE-2027-00034,2027-01-05,2027,1,5,2,CUST-006,Cliente 6,PROD-006,Producto Alimentos 6,Alimentos,Cuenca,Vendedor 8,Bodega Norte,1,6.1,5,5.79
SALE-2027-00035,2027-01-05,2027,1,5,2,CUST-045,Cliente 45,PROD-002,Producto Alimentos 2,Alimentos,Cuenca,Vendedor 8,Bodega Principal,5,3.4,5,16.15
SALE-2027-00036,2027-01-06,2027,1,6,3,CUST-016,Cliente 16,PROD-002,Producto Alimentos 2,Alimentos,Quito,Vendedor 2,Bodega Principal,3,3.4,0,10.2
SALE-2027-00037,2027-01-06,2027,1,6,3,CUST-007,Cliente 7,PROD-006,Producto Alimentos 6,Alimentos,Guayaquil,Vendedor 4,Bodega Sur,14,6.1,10,76.86
SALE-2027-00038,2027-01-06,2027,1,6,3,CUST-043,Cliente 43,PROD-006,Producto Alimentos 6,Alimentos,Guayaquil,Vendedor 4,Bodega Norte,5,6.1,5,28.98
SALE-2027-00039,2027-01-06,2027,1,6,3,CUST-001,Cliente 1,PROD-028,Producto Electrodomésticos 4,Electrodomésticos,Quito,Vendedor 6,Bodega Principal,3,103.17,0,309.51
SALE-2027-00040,2027-01-06,2027,1,6,3,CUST-004,Cliente 4,PROD-005,Producto Alimentos 5,Alimentos,Quito,Vendedor 7,Bodega Sur,11,7.1,0,78.1
SALE-2027-00041,2027-01-06,2027,1,6,3,CUST-042,Cliente 42,PROD-013,Producto Limpieza 1,Limpieza,Guayaquil,Vendedor 2,Bodega Principal,16,11.97,10,172.37
SALE-2027-00042,2027-01-06,2027,1,6,3,CUST-040,Cliente 40,PROD-018,Producto Limpieza 6,Limpieza,Quito,Vendedor 5,Bodega Sur,6,6.22,5,35.45
SALE-2027-00043,2027-01-06,2027,1,6,3,CUST-042,Cliente 42,PROD-011,Producto Bebidas 5,Bebidas,Guayaquil,Vendedor 8,Bodega Norte,15,2.45,5,34.91
SALE-2027-00044,2027-01-06,2027,1,6,3,CUST-047,Cliente 47,PROD-006,Producto Alimentos 6,Alimentos,Quito,Vendedor 1,Bodega Principal,8,6.1,0,48.8
SALE-2027-00045,2027-01-06,2027,1,6,3,CUST-001,Cliente 1,PROD-020,Producto Cuidado Personal 2,Cuidado Personal,Ambato,Vendedor 5,Bodega Sur,5,11.28,0,56.4
SALE-2027-00046,2027-01-06,2027,1,6,3,CUST-018,Cliente 18,PROD-003,Producto Alimentos 3,Alimentos,Quito,Vendedor 1,Bodega Principal,3,4.94,10,13.34
SALE-2027-00047,2027-01-06,2027,1,6,3,CUST-039,Cliente 39,PROD-009,Producto Bebidas 3,Bebidas,Quito,Vendedor 3,Bodega Principal,13,1.05,0,13.65
SALE-2027-00048,2027-01-06,2027,1,6,3,CUST-012,Cliente 12,PROD-006,Producto Alimentos 6,Alimentos,Guayaquil,Vendedor 6,Bodega Sur,18,6.1,10,98.82
SALE-2027-00049,2027-01-07,2027,1,7,4,CUST-038,Cliente 38,PROD-001,Producto Alimentos 1,Alimentos,Quito,Vendedor 3,Bodega Norte,5,3.26,20,13.04
SALE-2027-00050,2027-01-07,2027,1,7,4,CUST-020,Cliente 20,PROD-020,Producto Cuidado Personal 2,Cuidado Personal,Quito,Vendedor 2,Bodega Norte,1,11.28,5,10.72
SALE-2027-00051,2027-01-07,2027,1,7,4,CUST-050,Cliente 50,PROD-005,Producto Alimentos 5,Alimentos,Quito,Vendedor 1,Bodega Sur,17,7.1,20,96.56
SALE-2027-00052,2027-01-07,2027,1,7,4,CUST-031,Cliente 31,PROD-012,Producto Bebidas 6,Bebidas,Guayaquil,Vendedor 8,Bodega Norte,5,1.17,10,5.26
SALE-2027-00053,2027-01-07,2027,1,7,4,CUST-048,Cliente 48,PROD-004,Producto Alimentos 4,Alimentos,Guayaquil,Vendedor 3,Bodega Principal,6,2.66,5,15.16
SALE-2027-00054,2027-01-07,2027,1,7,4,CUST-044,Cliente 44,PROD-021,Producto Cuidado Personal 3,Cuidado Personal,Quito,Vendedor 6,Bodega Norte,3,17.06,0,51.18
